"title","year_release","box_office","director","number_of_subjects","type_of_subject","subject_race","subject_sex"
"10 Rillington Place",1971,NA,"Richard Fleischer",1,"Criminal",NA,"Male"
"12 Years a Slave",2013,56700000,"Steve McQueen",1,"Other","African","Male"
"127 Hours",2010,18300000,"Danny Boyle",1,"Athlete",NA,"Male"
"1987",2014,NA,"Ricardo Trogi",1,"Other","White","Male"
"20 Dates",1998,537000,"Myles Berkowitz",1,"Other",NA,"Male"
"21",2008,81200000,"Robert Luketic",1,"Other","Asian","Male"
"24 Hour Party People",2002,1130000,"Michael Winterbottom",1,"Musician","White","Male"
"42",2013,9.5e+07,"Brian Helgeland",1,"Athlete","African","Male"
"8 Seconds",1994,19600000,"John G. Avildsen",1,"Athlete",NA,"Male"
"84 Charing Cross Road",1987,1080000,"David Hugh Jones",2,"Author",NA,"Male"
"84 Charing Cross Road",1987,1080000,"David Hugh Jones",2,"Author",NA,"Female"
"A Beautiful Mind",2001,1.71e+08,"Ron Howard",1,"Academic",NA,"Male"
"A Dangerous Method",2011,5700000,"David Cronenberg",3,"Academic","White","Male"
"A Dangerous Method",2011,5700000,"David Cronenberg",3,"Academic","White","Male"
"A Dangerous Method",2011,5700000,"David Cronenberg",3,"Academic","White","Female"
"A Home of Our Own",1993,1700000,"Tony Bill",1,"Other",NA,"Female"
"A Man Called Peter",1955,NA,"Henry Koster",1,"Other","White","Male"
"A Man for All Seasons",1966,NA,"Fred Zinnemann",1,"Historical","White","Male"
"A Matador's Mistress",2008,NA,"Menno Meyjes",2,"Actress","Hispanic","Female"
"A Matador's Mistress",2008,NA,"Menno Meyjes",2,"Athlete","Hispanic","Male"
"A Mighty Heart",2007,9170000,"Michael Winterbottom",2,"Journalist","White","Male"
"A Mighty Heart",2007,9170000,"Michael Winterbottom",2,"Journalist","Multi racial","Female"
"A Song to Remember",1945,NA,"Charles Vidor",1,"Musician","White","Male"
"Abe Lincoln in Illinois",1940,NA,"John Cromwell",1,"World leader","White","Male"
"Above and Beyond",1952,NA,"Melvin Frank, Norman Panama",1,"Military",NA,"Male"
"Abraham Lincoln",1930,NA,"D.W. Griffith",1,"World leader","White","Male"
"Against the Ropes",2004,5880000,"Charles S. Dutton",1,"Athlete",NA,"Female"
"Al Capone",1959,NA,"Richard Wilson",1,"Criminal","White","Male"
"Alexander",2004,34300000,"Oliver Stone",1,"Historical","White","Male"
"Alexander the Great",1956,NA,"Robert Rossen",1,"Historical","White","Male"
"Ali",2001,58200000,"Michael Mann",1,"Athlete","African","Male"
"Alpha Dog",2006,15200000,"Nick Cassavetes",1,"Criminal",NA,"Male"
"Amadeus",1984,366000,"Milos Forman",2,"Musician","White","Male"
"Amadeus",1984,366000,"Milos Forman",2,"Musician","White","Male"
"Amazing Grace",2006,21200000,"Michael Apted",1,"Other","White","Male"
"Amelia",2009,14200000,"Mira Nair",1,"Other","White","Female"
"American Gangster",2007,1.3e+08,"Ridley Scott",1,"Criminal","African","Male"
"American Me",1992,13100000,"Edward James Olmos",1,"Criminal","Hispanic","Male"
"American Sniper",2014,3.5e+08,"Clint Eastwood",1,"Military",NA,"Male"
"American Splendor",2003,6e+06,"Shari Springer Berman, Robert Pulcini",1,"Comedian","White","Male"
"An American Crime",2007,NA,"Tommy O'Haver",2,"Criminal","White","Female"
"An American Crime",2007,NA,"Tommy O'Haver",2,"Other",NA,"Female"
"An Angel at My Table",1990,1100000,"Jane Campion",1,"Author","White","Female"
"Anastasia",1956,NA,"Anatole Litvak",1,"Other","White","Female"
"Anna and the King of Siam",1946,NA,"John Cromwell",1,"Other","Multi racial","Female"
"Annie Get Your Gun",1950,8e+06,"George Sidney",1,"Athlete","White","Female"
"Annie Oakley",1935,NA,"George Stevens",1,"Athlete","White","Female"
"Another Country",1984,NA,"Marek Kanievska",1,"Military",NA,"Male"
"Antwone Fisher",2002,21100000,"Denzel Washington",1,"Military","African","Male"
"Auto Focus",2002,2060000,"Paul Schrader",1,"Actor","White","Male"
"Awakenings",1990,52100000,"Penny Marshall",1,"Medicine","White","Male"
"Baadasssss!",2003,365000,"Mario Van Peebles",1,"Actor","African","Male"
"Baader",2002,NA,"Christopher Roth",1,"Military","White","Male"
"Backbeat",1994,2390000,"Iain Softley",2,"Musician","White","Male"
"Backbeat",1994,2390000,"Iain Softley",2,"Musician","White","Male"
"Bandit Queen",1994,4e+05,"Shekhar Kapur",1,"Criminal","Indian","Female"
"Barabbas",1961,NA,"Richard Fleischer",1,"Historical","White","Male"
"Basquiat",1996,2960000,"Julian Schnabel",1,"Artist","Multi racial","Male"
"Bathory: Countess of Blood",2008,NA,"Juraj Jakubisko",1,"Criminal","White","Female"
"Battle Hymn",1957,NA,"Douglas Sirk",1,"Military",NA,"Male"
"Beau Brummell",1954,NA,"Curtis Bernhardt",1,"Other","White","Male"
"Becket",1964,NA,"Peter Glenville",2,"Historical","White","Male"
"Becket",1964,NA,"Peter Glenville",2,"Historical","White","Male"
"Becoming Jane",2007,18700000,"Julian Jarrold",1,"Author","White","Female"
"Before Night Falls",2000,4220000,"Julian Schnabel",1,"Activist","Hispanic","Male"
"Behind the Lines",1997,19300,"Gillies MacKinnon",1,"Military","Multi racial","Male"
"Bernard and Doris",2006,NA,"Bob Balaban",2,"Other","White","Male"
"Bernard and Doris",2006,NA,"Bob Balaban",2,"Other","White","Female"
"Best",2000,NA,"Mary McGuckian",1,"Athlete","White","Male"
"Beyond the Law",1993,NA,"Larry Ferguson",1,"Other",NA,"Male"
"Beyond the Sea",2004,6140000,"Kevin Spacey",1,"Musician","White","Male"
"Big Eyes",2014,14500000,"Tim Burton",1,"Artist","White","Female"
"Billy the Kid",1941,NA,"David Miller",1,"Criminal","White","Male"
"Bird",1988,2180000,"Clint Eastwood",1,"Musician","Multi racial","Male"
"Birdman of Alcatraz",1962,NA,"John Frankenheimer",1,"Criminal",NA,"Male"
"Blaze",1989,19100000,"Ron Shelton",1,"Politician","White","Male"
"Bloodsport",1988,11800000,"Newt Arnold",1,"Athlete",NA,"Male"
"Blossoms in the Dust",1941,NA,"Mervyn LeRoy",1,"Other",NA,"Female"
"Blow",2001,52900000,"Ted Demme",1,"Criminal","White","Male"
"Blue",1993,1720000,"Derek Jarman",1,"Other",NA,"Male"
"Blue Caprice",2013,86700,"Alexandre Moors",1,"Criminal","African","Male"
"Bobby Jones: Stroke of Genius",2004,2690000,"Rowdy Herrington",1,"Athlete",NA,"Male"
"Bonnie and Clyde",1967,NA,"Arthur Penn",2,"Criminal",NA,"Male"
"Bonnie and Clyde",1967,NA,"Arthur Penn",2,"Criminal",NA,"Female"
"Born on the Fourth of July",1989,7e+07,"Oliver Stone",1,"Military / activist",NA,"Male"
