"chamber","party","termstart","age"
"house","D",1947,85.9
"house","D",1947,83.2
"house","D",1947,80.7
"house","R",1947,78.8
"house","R",1947,78.3
"house","R",1947,78
"house","R",1947,77.9
"house","D",1947,76.8
"house","R",1947,76
"house","R",1947,75.8
"house","D",1947,74.7
"house","R",1947,74
"house","D",1947,73.5
"house","D",1947,73
"house","D",1947,72.6
"house","D",1947,72.5
"house","D",1947,72.4
"house","D",1947,72
"house","R",1947,72
"house","D",1947,71.8
"house","R",1947,71.7
"house","D",1947,71.6
"house","R",1947,71.3
"house","R",1947,71.3
"house","D",1947,70.8
"house","R",1947,70.8
"house","R",1947,70.3
"house","R",1947,70.1
"house","R",1947,69.6
"house","R",1947,69.5
"house","R",1947,69.4
"house","D",1947,68.7
"house","D",1947,68.7
"house","R",1947,68.4
"house","D",1947,68.4
"house","R",1947,68.2
"house","D",1947,67.7
"house","D",1947,67.6
"house","R",1947,67.3
"house","D",1947,66.8
"house","D",1947,66.7
"house","R",1947,66.7
"house","R",1947,66.6
"house","R",1947,66.5
"house","R",1947,66.4
"house","R",1947,66.4
"house","R",1947,66.2
"house","R",1947,66.2
"house","R",1947,66.2
"house","R",1947,66.2
"house","D",1947,66
"house","D",1947,66
"house","R",1947,65.9
"house","R",1947,65.9
"house","R",1947,65.8
"house","R",1947,65.2
"house","D",1947,65
"house","R",1947,64.8
"house","D",1947,64.8
"house","D",1947,64.7
"house","R",1947,64.7
"house","R",1947,64.5
"house","D",1947,64.3
"house","D",1947,63.9
"house","D",1947,63.7
"house","R",1947,63.7
"house","R",1947,63.5
"house","D",1947,63.5
"house","D",1947,63.1
"house","R",1947,63
"house","R",1947,63
"house","R",1947,62.8
"house","R",1947,62.8
"house","R",1947,62.7
"house","R",1947,62.5
"house","R",1947,62.4
"house","D",1947,62.3
"house","R",1947,62.2
"house","D",1947,62
"house","D",1947,62
"house","D",1947,62
"house","R",1947,62
"house","D",1947,61.9
"house","D",1947,61.9
"house","D",1947,61.9
