beer_name,brewery,style,abv,rating,num_ratings
Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,American Double / Imperial Stout,12,4.84,674
Heady Topper,The Alchemist Brewery and Visitors Center,American Double / Imperial IPA,8,4.72,13910
Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,American Double / Imperial Stout,11,4.74,1543
Barrel-Aged Abraxas,Perennial Artisan Ales,American Double / Imperial Stout,11,4.74,1394
Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord),3 Floyds Brewing Co.,Russian Imperial Stout,15,4.73,1548
King Julius,Tree House Brewing Company,American Double / Imperial IPA,8.3,4.74,796
Pliny The Younger,Russian River Brewing Company,American Double / Imperial IPA,10.25,4.7,3151
Bourbon County Brand Coffee Stout,Goose Island Beer Co.,American Double / Imperial Stout,12.9,4.68,7234
Fundamental Observation,Bottle Logic Brewing,American Double / Imperial Stout,14.3,4.71,1025
Mornin' Delight,Toppling Goliath Brewing Company,American Double / Imperial Stout,12,4.7,1336
Very Hazy,Tree House Brewing Company,American Double / Imperial IPA,8.6,4.72,694
CBS (Canadian Breakfast Stout),Founders Brewing Company,American Double / Imperial Stout,11.7,4.66,5306
Julius,Tree House Brewing Company,American IPA,6.8,4.66,4038
Pliny The Elder,Russian River Brewing Company,American Double / Imperial IPA,8,4.65,14733
Double Sunshine IPA,Lawson's Finest Liquids,American Double / Imperial IPA,8,4.66,2180
Juice Machine,Tree House Brewing Company,American Double / Imperial IPA,8.2,4.7,622
Cantillon Fou' Foune,Brasserie Cantillon,Lambic - Fruit,5,4.65,2980
Very Green,Tree House Brewing Company,American Double / Imperial IPA,8.6,4.68,828
Assassin,Toppling Goliath Brewing Company,American Double / Imperial Stout,12,4.66,1235
Morning Wood,Funky Buddha Brewery,American Porter,12,4.66,1010
Dinner,Maine Beer Company,American Double / Imperial IPA,8.2,4.64,2140
Doubleganger,Tree House Brewing Company,American Double / Imperial IPA,8.2,4.69,523
Speedway Stout - Vietnamese Coffee (Bourbon-Barrel Aged),AleSmith Brewing Company,American Double / Imperial Stout,12,4.66,835
Abner,Hill Farmstead Brewery,American Double / Imperial IPA,8.2,4.63,2707
KBS (Kentucky Breakfast Stout),Founders Brewing Company,American Double / Imperial Stout,11.8,4.61,12910
Parabola,Firestone Walker Brewing Co.,Russian Imperial Stout,14,4.61,6663
King Sue,Toppling Goliath Brewing Company,American Double / Imperial IPA,8,4.62,2062
Duck Duck Gooze,The Lost Abbey,Gueuze,7,4.62,1830
Cantillon Lou Pepe - Kriek,Brasserie Cantillon,Lambic - Fruit,5,4.62,1765
Bourbon County Brand Stout,Goose Island Beer Co.,American Double / Imperial Stout,14.1,4.6,12544
Triple Sunshine IPA,Lawson's Finest Liquids,American Double / Imperial IPA,10.5,4.65,648
Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Quadrupel (Quad),10.2,4.6,6464
Double Citra,Hill Farmstead Brewery,American Double / Imperial IPA,8,4.61,1851
Zombie Dust,3 Floyds Brewing Co.,American Pale Ale (APA),6.2,4.59,10335
JJJuliusss,Tree House Brewing Company,American IPA,6.8,4.68,362
Focal Banger,The Alchemist Brewery and Visitors Center,American IPA,7,4.59,3517
Fuzzy,Side Project Brewing,American Wild Ale,8,4.62,820
Green,Tree House Brewing Company,American IPA,7.6,4.59,2688
Drie Fonteinen Zenne Y Frontera,Brouwerij 3 Fonteinen,Lambic - Unblended,7,4.73,225
Double Galaxy,Hill Farmstead Brewery,American Double / Imperial IPA,8,4.6,1427
Double Dry Hopped Congress Street,Trillium Brewing Company,American IPA,7.2,4.6,1330
Sip Of Sunshine IPA,Lawson's Finest Liquids,American Double / Imperial IPA,8,4.58,5184
Hunahpu's Imperial Stout,Cigar City Brewing,American Double / Imperial Stout,11,4.58,4223
Atrial Rubicite,Jester King Brewery,American Wild Ale,5.8,4.59,1808
Double Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),6.6,4.59,1519
Doppelganger,Tree House Brewing Company,American Double / Imperial IPA,8,4.59,1488
Haze,Tree House Brewing Company,American Double / Imperial IPA,8.2,4.58,2383
Society & Solitude #4,Hill Farmstead Brewery,American Double / Imperial IPA,8,4.59,1200
Headroom,Trillium Brewing Company,American Double / Imperial IPA,8,4.62,578
PseudoSue - Double Dry-Hopped With Citra,Toppling Goliath Brewing Company,American Pale Ale (APA),5.8,4.6,820
Westly,Sante Adairius Rustic Ales,American Wild Ale,8.5,4.68,275
Swish,Bissell Brothers Brewing Co.,American Double / Imperial IPA,8,4.58,1367
Cantillon Lou Pepe - Framboise,Brasserie Cantillon,Lambic - Fruit,5,4.58,1334
Supplication,Russian River Brewing Company,American Wild Ale,7,4.56,6435
Citra,Kern River Brewing Company,American Double / Imperial IPA,8,4.57,1768
Cable Car,The Lost Abbey,American Wild Ale,7,4.58,1027
Alter Ego,Tree House Brewing Company,American IPA,6.8,4.56,2160
Aaron,Hill Farmstead Brewery,English Barleywine,NA,4.61,501
Grande Negro Voodoo Papi - Bourbon Barrel Aged,Voodoo Brewery,American Double / Imperial Stout,12.5,4.65,309
Nectarine Premiere,de Garde Brewing,Saison / Farmhouse Ale,7.1,4.65,304
Galaxy Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),6.6,4.56,1636
West Ashley,Sante Adairius Rustic Ales,American Wild Ale,7.3,4.57,1050
Ephraim,Hill Farmstead Brewery,American Double / Imperial IPA,10,4.57,1046
Beatification,Russian River Brewing Company,American Wild Ale,6,4.55,2706
In Perpetuity,Tree House Brewing Company,American IPA,6.7,4.58,714
Kuhnhenn Bourbon Barrel Fourth Dementia,Kuhnhenn Brewing Company,Old Ale,13.5,4.55,1934
Black Note Stout,"Bell's Brewery, Inc.",American Double / Imperial Stout,11.2,4.54,4687
