id,handle,text,is_retweet,original_author,time,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,is_quote_status,lang,retweet_count,favorite_count
7.80926E+17,HillaryClinton,The question in this election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG,FALSE,,2016-09-28T00:22:34,,,,FALSE,en,218,651
7.80916E+17,HillaryClinton,"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. https://t.co/t0xmBfj7zF",TRUE,timkaine,2016-09-27T23:45:00,,,,FALSE,en,2445,5308
7.80912E+17,HillaryClinton,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,TRUE,POTUS,2016-09-27T23:26:40,,,,FALSE,en,7834,27234
7.80907E+17,HillaryClinton,"If we stand together, there's nothing we can't do. Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy",FALSE,,2016-09-27T23:08:41,,,,FALSE,en,916,2542
7.80897E+17,HillaryClinton,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis,FALSE,,2016-09-27T22:30:27,,,,FALSE,en,859,2882
7.80893E+17,realDonaldTrump,"Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:â€_ https://t.co/dfzsbICiXc",FALSE,,2016-09-27T22:13:24,,,,FALSE,en,2181,6172
7.80884E+17,HillaryClinton,This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H,FALSE,,2016-09-27T21:35:28,,,,FALSE,en,1303,2849
7.80881E+17,HillaryClinton,When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS,FALSE,,2016-09-27T21:25:31,,,,FALSE,en,1833,4954
7.80877E+17,realDonaldTrump,"Once again, we will have a government of, by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe",FALSE,,2016-09-27T21:08:22,,,,FALSE,en,4132,11239
7.80875E+17,HillaryClinton,3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq,TRUE,mcuban,2016-09-27T21:00:13,,,,FALSE,en,1087,2824
7.80869E+17,HillaryClinton,"The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few clâ€_ https://t.co/H1H7hAA4XM",TRUE,ddlovato,2016-09-27T20:37:47,,,,FALSE,en,3347,7698
7.80867E+17,realDonaldTrump,"On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgainâ€_ https://t.co/0wib6UEZON",TRUE,GOP,2016-09-27T20:31:14,,,,FALSE,en,2953,6963
7.80863E+17,realDonaldTrump,"Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: https://t.co/zhkEfUouHH",FALSE,,2016-09-27T20:14:33,,,,FALSE,en,3833,9840
7.80861E+17,realDonaldTrump,"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGAhttps://t.co/PGimqYKPoJ",FALSE,,2016-09-27T20:06:25,,,,FALSE,en,4236,10948
7.80859E+17,HillaryClinton,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) https://t.co/h43O6Rws4S,FALSE,,2016-09-27T19:59:28,,,,FALSE,en,5379,8917
7.80859E+17,realDonaldTrump,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF,FALSE,,2016-09-27T19:59:04,,,,FALSE,en,4878,14110
7.80854E+17,realDonaldTrump,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and weâ€™re still going! Thank you America! #MAGA",FALSE,,2016-09-27T19:37:22,,,,FALSE,en,6939,23330
7.80852E+17,HillaryClinton,"â€œShe gained about 55 pounds in...9 months. She was like an eating machine.â€ù â€”Trump, a man who wants to be president: https://t.co/1ht91eZCyw",FALSE,,2016-09-27T19:31:01,,,,FALSE,en,2058,3714
7.80841E+17,HillaryClinton,It's #NationalVoterRegistrationDay. Celebrate by registering to vote â†’ https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG,FALSE,,2016-09-27T18:45:39,,,,FALSE,en,1792,3500
7.80832E+17,HillaryClinton,"""I love this country.Iâ€™m proud of this country.I want to be a leader who brings people together.""â€”Hillary #LoveTrumpsHate",FALSE,,2016-09-27T18:12:06,HillaryClinton,7.81E+17,1339835893,FALSE,en,1437,5053
